commit Id,Date,filename,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement,Effective Commit
b43564cb29d88cbd5295c5f4b52884a8e530929e,"04/01/2003, 14:12:34",file_ 1,1,0,0,0,0,0,0,0,0,1
1cfe5afa8ed5f189fdf6e4f12426f6c1dac01e2d,"04/21/2003, 21:37:11",file_ 2,6,0,2,0,2,0,0,0,0,1
a18d531876b36466837da48d93961fd91dfa16e8,"06/01/2003, 11:30:13",file_ 2,5,0,2,0,2,0,0,0,0,11
1cfe5afa8ed5f189fdf6e4f12426f6c1dac01e2d,"04/21/2003, 21:37:11",file_ 3,9,0,2,0,1,0,0,0,0,1
b1a28736a7476198f41d73e075faf1bf4aa2bd1d,"04/24/2003, 01:04:42",file_ 3,7,0,0,0,0,0,0,0,0,2
f4f92b7983fd92bba8f609803b404d4011c1f924,"05/21/2003, 11:17:09",file_ 3,8,0,0,0,0,0,0,0,0,6
72546592ddf70fe8eef071a6571b5f891864cb46,"05/29/2003, 15:51:10",file_ 3,7,0,0,0,0,0,0,0,0,11
44198a45066020cbb4ada58fc2984536b5df02e4,"07/19/2003, 22:55:18",file_ 3,8,0,0,0,0,0,0,0,0,28
96630b6e9db42b9412abe277c24effe669df3247,"08/04/2003, 22:33:27",file_ 3,8,0,1,0,0,0,0,0,0,36
d41eaab5cebc7cbad71840bc4dff00bdc90e609e,"08/20/2003, 22:59:20",file_ 3,8,0,1,0,1,0,0,0,0,41
240c3ea9d84c806290015d7d2a2021188792750c,"10/07/2003, 21:48:32",file_ 3,8,0,1,0,2,0,0,0,0,58
d9c1f288447eb09851e2bd48563a644a737dfe91,"10/26/2003, 05:25:26",file_ 3,7,0,1,0,2,0,0,0,0,63
b629afe5c10970a283c4f6dfc0749621190eaf44,"11/03/2003, 07:30:04",file_ 3,8,0,2,0,3,0,0,0,0,71
c9ec9ee848a4f2286e10222467d7a15563533fa6,"11/10/2003, 23:45:02",file_ 3,9,0,2,0,3,0,0,0,0,81
1cfe5afa8ed5f189fdf6e4f12426f6c1dac01e2d,"04/21/2003, 21:37:11",file_ 4,2,0,0,0,1,0,0,0,0,1
b7e64e6d6c5053e0a0725b1c701c848c72c6599c,"05/12/2003, 22:33:47",file_ 5,1,0,0,2,1,0,0,0,0,1
f829c1048ed9b9f09da3ea20492c34c1c12819cc,"05/14/2003, 00:50:59",file_ 5,1,0,1,2,1,0,0,0,0,2
fc2d7206bbba283a9367bd7b60315a77b15cf60a,"05/22/2003, 22:51:40",file_ 5,0,0,0,0,0,0,0,0,0,3
0da3cbf2dabc0154eea998bd7dd065496b246ebb,"05/23/2003, 11:23:26",file_ 6,1,0,1,0,1,0,0,0,0,1
cb0702c07874f9ba36bd22692f2c1b196e9b1f07,"05/28/2003, 08:41:04",file_ 7,1,0,0,0,0,0,0,0,0,1
e1114fe2bbb6f4ee85e3b171e5ad909da844c6d9,"12/04/2003, 19:02:21",file_ 7,1,0,1,0,0,0,0,0,0,3
