commit Id,Date,filename,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement,Effective Commit
5fa672603c1fd992ae606dfeb2fccef28c9dfdcf,"01/03/2014, 10:56:51",file_ 5,2,1,1,0,1,1,0,0,0,54
205e00844d1d9cf4cd4545c4cc45f1121a6b0824,"01/09/2014, 08:11:47",file_ 5,1,0,1,0,1,1,0,0,0,59
1963607046605df55e2cec4378792991328f050d,"01/17/2014, 16:25:54",file_ 5,2,1,1,0,1,1,0,0,0,60
a285a212496700d5d6c3b5fa369b8d912f05dd1e,"01/23/2014, 20:50:59",file_ 5,1,0,1,0,1,1,0,0,0,62
fc6fe63d01350a47ab13caf34d044049f55ba61d,"05/08/2010, 12:50:23",file_ 6,1,0,0,0,0,1,0,0,0,1
6e92411c172f8a109fb7d72112610f9a128d0b21,"05/30/2010, 16:47:23",file_ 6,2,0,0,0,0,2,0,0,0,3
d19a7378115e5de11b694ac40531ab662d074055,"06/12/2010, 14:25:54",file_ 6,1,0,0,0,0,1,0,0,0,4
df26577ad6cd4b45c882cf1afa64bec04956b736,"06/15/2010, 09:19:30",file_ 6,2,0,0,0,0,2,0,0,0,5
f0d9cdd35d83fd081c218fdec17edaf9e4f868f7,"07/07/2010, 12:42:23",file_ 6,1,0,0,0,0,1,0,0,0,6
07c4fdcf4e92d22076673c234a28ca1bae048506,"01/07/2011, 10:37:17",file_ 6,1,0,1,0,0,1,0,0,0,13
bb1bb2b5e2aae16ee690ac19815a061536f9fca3,"01/08/2011, 13:58:41",file_ 6,2,0,1,0,1,1,0,0,0,15
26999e577866feba0753e7f186c6b927f1d86b11,"07/01/2013, 23:07:48",file_ 6,2,0,0,0,1,1,0,0,0,42
052a1ccf7152c94a585f9399badcc9c0c507f8b3,"10/18/2013, 11:39:20",file_ 6,2,0,0,0,0,1,0,0,0,44
5fa672603c1fd992ae606dfeb2fccef28c9dfdcf,"01/03/2014, 10:56:51",file_ 6,2,0,0,0,1,1,0,0,0,48
205e00844d1d9cf4cd4545c4cc45f1121a6b0824,"01/09/2014, 08:11:47",file_ 6,2,0,1,0,1,1,0,0,0,51
30d59c8acb172af422108931aa7158300964a3b2,"05/17/2010, 07:54:49",file_ 7,2,0,1,0,1,0,0,0,0,1
d19a7378115e5de11b694ac40531ab662d074055,"06/12/2010, 14:25:54",file_ 7,4,0,0,0,2,0,0,0,0,4
f152ceabb41aeeda2d8d72422dd7281c6e59121e,"06/15/2010, 11:08:25",file_ 7,4,0,2,0,2,0,0,0,0,5
a68030ed4dda78aadfd50844303aae0aad9db864,"07/06/2010, 11:31:35",file_ 7,4,0,0,0,2,0,0,0,0,8
875096cc89e46c342c019e17076db2b9737d18dd,"07/06/2010, 11:36:21",file_ 7,4,0,2,0,2,0,0,0,0,9
502ab483de52eb79c14d12b1d97390762301d3bb,"07/17/2010, 15:07:51",file_ 7,3,0,1,0,1,0,0,0,0,12
6f2b9a9795766f382bc7a9a7f100322649575d5b,"07/17/2010, 15:22:44",file_ 7,2,0,1,0,1,0,0,0,0,13
c2580fd612016041907066b10b88b867929f6e2f,"01/17/2011, 10:11:38",file_ 7,3,0,1,0,2,0,0,0,0,19
bc4400c25a2b76ec18bc6ef600ca00e5dcdb0e94,"01/22/2011, 07:12:40",file_ 7,2,0,1,0,1,0,0,0,0,24
dbe9633f6c5fd15880146afdbe7cd706b9599364,"02/03/2011, 10:35:45",file_ 7,3,0,1,0,2,0,0,0,0,25
248d03d43242cfe350dbce5d1ea3dc3da4d97c40,"05/21/2011, 12:21:09",file_ 7,4,0,1,0,2,0,0,0,0,30
f7e1d94d596f34d054f92abb7157ef360fa60b12,"09/04/2011, 14:30:16",file_ 7,4,0,1,0,3,0,0,0,0,33
14c3080f5242c509f7b30e1f1adc0993187399c2,"09/11/2011, 08:11:18",file_ 7,4,0,1,0,2,0,0,0,0,35
132e932ead1d704823cc638919c43401448ceaf7,"09/30/2011, 10:50:33",file_ 7,4,0,1,0,3,0,0,0,0,36
b2efc2a7425847d4b0e3043985c0344415dbd110,"10/04/2011, 21:12:05",file_ 7,4,0,1,0,2,0,0,0,0,38
e50646af2ca88cc5894ecf158dce6fcab49088d0,"11/08/2011, 10:11:03",file_ 7,5,0,1,0,2,0,0,0,0,44
47c5f6d127fe6cffc7d82274ba425e745cb7b4bd,"02/09/2012, 17:21:19",file_ 7,5,0,2,0,2,0,0,0,0,53
5786e50b3878cba88932b10e6a48c75723950707,"04/30/2012, 12:02:38",file_ 7,5,0,1,0,2,0,0,0,0,55
dd560a3c18ee5072507a6c3a982e53eeba8bd5b5,"06/22/2012, 10:01:38",file_ 7,6,0,1,0,2,0,0,0,0,56
336c3ed85e08bd8d38279d2a0be82d47c8d53b4d,"09/17/2012, 11:36:41",file_ 7,6,0,2,0,2,0,0,0,0,57
94e57e6da1abc8433e19d689efa1a66f8d58c4d2,"05/16/2013, 23:32:41",file_ 7,6,0,2,0,3,0,0,0,0,67
62f0c69bd628804cfe04da7e8e40e35a083bdde4,"05/17/2010, 08:15:28",file_ 8,2,0,2,0,2,1,0,0,0,1
d19a7378115e5de11b694ac40531ab662d074055,"06/12/2010, 14:25:54",file_ 8,4,0,4,0,4,2,0,0,0,2
0f2b39e72cdd2d94fcde147be749ecd88de5ceb6,"05/18/2010, 09:13:08",file_ 9,1,1,0,0,0,1,0,0,0,1
df26577ad6cd4b45c882cf1afa64bec04956b736,"06/15/2010, 09:19:30",file_ 9,2,2,0,0,0,2,0,0,0,3
