commit Id,Date,filename,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement,Effective Commit
bf6313e50bb7b0209e60fe68e2962f4388eef1f1,"02/17/2012, 14:02:53",file_ 1,0,1,0,0,0,0,0,0,0,1
3789972a35924846ef77bba599500a828731a236,"02/21/2012, 09:32:21",file_ 1,0,0,0,0,0,0,0,0,0,23
353c7c527f65b18da25c4de07f69a26a0e722518,"02/21/2012, 10:50:25",file_ 1,0,1,0,0,0,0,0,0,0,25
d29a12794815311c46518ede1a94e00198ee5efe,"02/23/2012, 09:09:00",file_ 2,1,0,0,0,1,0,0,0,0,1
1e5c6ee24650a7d34fe2b85f80bcbce06aa448b2,"02/25/2012, 14:10:10",file_ 2,0,0,0,0,0,0,0,0,0,17
711d60a50618e285aee1f56da21b1d7ab97af0d4,"02/25/2012, 14:54:34",file_ 2,1,0,0,0,1,0,0,0,0,18
e36dba4f10402cdbcfa244133419515d75a4ad53,"02/29/2012, 20:39:02",file_ 2,0,0,0,0,0,0,0,0,0,35
2c4d35e6a4bb5eecf119b8db9f9d8151e484eb5f,"03/01/2012, 12:12:39",file_ 2,1,0,0,0,1,0,0,0,0,36
601b29a9d1f4e2019cfa00ec1ba9e8b1960db4fb,"03/02/2012, 11:40:16",file_ 2,0,0,0,0,0,0,0,0,0,45
1302ded5f857f5f38ef8d460a8f58aab929f4fe0,"03/02/2012, 09:41:30",file_ 2,1,0,0,0,1,0,0,0,0,46
638032f4c0fa887aabcf494bf2504b54be470a34,"03/04/2012, 22:02:11",file_ 2,0,0,0,0,0,0,0,0,0,61
8da1c16c8bbb48c77b4637fe535bdeaf6782a306,"03/05/2012, 13:31:30",file_ 2,1,0,0,0,1,0,0,0,0,64
17ac74d7f822c5a429c475e4eb4bdbb2929d0850,"03/07/2012, 20:52:17",file_ 2,0,0,0,0,0,0,0,0,0,67
51183c348d28af8b62866e388aaf4a1cc9e3dd84,"03/07/2012, 21:59:54",file_ 2,1,0,0,0,1,0,0,0,0,68
1044367c1e3392ab6e9343f55b4fd8404e0e23f5,"03/19/2012, 07:47:20",file_ 2,0,0,0,0,0,0,0,0,0,95
d80730cf0de4e7e6b9de4d83fde0490c3387cee2,"03/19/2012, 08:43:07",file_ 2,1,0,0,0,1,0,0,0,0,96
f27027d3a85775b596cd82a8241346c0ab0909ad,"03/22/2012, 14:27:04",file_ 2,0,0,0,0,0,0,0,0,0,128
b6615ddbee8bbd41751d930616cddf777100a221,"03/22/2012, 11:00:13",file_ 2,1,0,0,0,1,0,0,0,0,130
2c4d35e6a4bb5eecf119b8db9f9d8151e484eb5f,"03/01/2012, 12:12:39",file_ 3,1,0,0,0,0,0,0,0,0,1
be9549615861a627568d568974d968d5b6f2d944,"03/01/2012, 10:55:37",file_ 3,0,0,0,0,0,0,0,0,0,2
3c3e91368908717753f0bc71ac772c034b86fbc5,"03/21/2012, 11:19:29",file_ 3,1,0,0,0,0,0,0,0,0,71
